,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,8.405392101284958,-3.567917847694633,8.405392101284958,0.1903240740740748,0.7793019402943102,203.2490000000001,190.14499999999998,203.11709541599998,78,0,0.16907627369386866,-0.36537851005065425,0.36537851005065425,0.16907627369386866,1.6,2.466666666666667,3.3333333333333335,10.56602057612452,-0.18861876267457126,1.2926748010433204e-16,-2.5619096380094546,9.619286471388868e-17,-2.595036502224065,1.5728078635270177,-1.0377709700611966,2.347929790790003,942.2605805224333,21.662772227887025,20.23606797749979,7.236067977499791,12.464232620803163,10.380495168499708,3.9860679774997907,2.603444185374864,2.603444185374864,1.6951237921249271,1.6951237921249271,1.0778405365124675,1.0778405365124675,-1.6500000000000001,740479.8928143188,2.5334308483338464,3.4903013234318174,1.5357886228883035,105.73064338380604,10.286816623517627,14.561589543922928,14.288724155259157,0.0,0.0,0.0,0.0,14.951935562841626,0.0,0.0,12.745849802658759,12.745849802658759,16.983960917711403,7.674130270136447,17.90202827452882,16.98174071621902,0.0,19.928938833070877,0.0,31.509592073667164,5.309813353288376,12.606743427932454,0.0,0.0,5.309813353288376,5.817862777835028,0.0,0.0,25.94683130142052,0.0,0.0,40.570043723189954,12.606743427932454,2.8236841566564013,11.16387793838399,0.0,66.49000000000001,61.09807621781864,0.0,0.0,5.309813353288376,4.977003270229252,0.0,0.0,0.0,0.0,14.951935562841626,17.90202827452882,102.65046608612583,0.0,11.061780675233054,-0.1903240740740748,-0.9275581065759635,-0.828009259259259,-3.519126039304612,-15.663895948811623,0.0,0.0,0.5,15,2,5,1,0,1,0,2,2,4,2,5,2,1,0,1,3,1.7073999999999998,57.562400000000025,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7.998100434618292,-3.310626181027968,7.998100434618292,0.03967592592592606,0.7194331179429968,205.2210000000001,194.13299999999998,205.096359972,78,0,0.1690762746273209,-0.37777585756355075,0.37777585756355075,0.1690762746273209,1.4666666666666666,2.3333333333333335,3.2,11.350129044278178,-0.18048657770609539,-5.60187615684264e-17,-2.670040483396881,2.206810727953666e-17,-2.7970146507632885,1.6268258596846898,-1.0056074083583673,2.3930865456244708,869.799639297177,19.86987900907357,18.144316267963653,7.144316267963654,11.632664267394896,9.315136661213591,3.867923065713633,2.5082372009727405,2.5082372009727405,1.6818746570959155,1.6818746570959155,1.0781349946052559,1.0781349946052559,-1.6900000000000002,286576.9409288156,2.9137511985057847,3.4674991505476247,1.424306678780938,101.82122035293769,14.61377595487978,14.561589543922928,12.876882076930956,0.0,0.0,0.0,0.0,14.951935562841626,0.0,0.0,0.0,0.0,12.99371936863189,30.38741064916056,19.856290593830447,16.98174071621902,0.0,19.928938833070877,0.0,0.0,31.011599585314947,12.606743427932454,0.0,0.0,4.899909730850478,5.817862777835028,0.0,0.0,46.04062868753535,4.736862953800049,0.0,13.7075855617022,12.606743427932454,1.4118420783282006,11.16387793838399,0.0,66.93,55.700173998615945,0.0,0.0,4.899909730850478,4.977003270229252,0.0,0.0,0.0,0.0,19.688798516641672,15.1194276400304,89.90045658541194,0.0,11.214435941043083,0.0,-0.8690145502645499,-0.7726388888888882,0.0,-1.4429013133030986,-13.197004440665157,0.0,0.4444444444444444,15,1,6,0,1,1,0,2,2,5,1,6,1,0,1,1,3,0.18950000000000006,54.71570000000001,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8.48902021919879,-3.858482497165533,8.48902021919879,0.32375118102796696,0.8079986051399971,217.27600000000012,202.15599999999998,217.13274547999998,84,0,0.22447544588231308,-0.35143208109262214,0.35143208109262214,0.22447544588231308,1.5625,2.4375,3.3125,10.127257456093373,-0.19157883112878413,-1.1255452180263123e-16,-2.7889836980705853,7.602731648296896e-17,-2.7394810748568457,1.2902910872133218,-1.145978610808672,2.335533133986781,1031.289199756704,24.162772227887025,22.73606797749979,7.73606797749979,13.71423262080316,11.630495168499706,4.23606797749979,2.7166407864998745,2.7166407864998745,1.6958203932499376,1.6958203932499376,1.0502379873562255,1.0502379873562255,-1.6500000000000001,2516977.9696099195,2.6021920285707743,4.076243562602285,1.846896122402189,114.9055264985383,10.286816623517627,6.887459273786482,8.470861377424129,5.948339280986494,0.0,0.0,0.0,9.967957041894417,4.9839785209472085,0.0,19.118774703988137,12.745849802658759,19.725478030051843,15.217784037121426,20.64354538686926,17.112217219370482,0.0,19.92893883307088,0.0,37.88251697499654,5.309813353288376,12.476266924780987,0.0,0.0,5.309813353288376,5.948339280986494,0.0,0.0,25.946831301420524,0.0,0.0,49.6844857368598,12.476266924780987,2.8236841566564013,11.16387793838399,0.0,66.49000000000001,61.954300401531746,0.0,0.0,10.826514070904636,4.977003270229252,0.0,0.0,0.0,0.0,14.951935562841626,20.64354538686926,119.45977348566839,0.0,11.020547118526016,-0.36904856386999274,-0.8685459314898796,-1.0669340513983372,-3.810129086356765,-20.53232963774608,0.0,0.0,0.5454545454545454,16,2,5,1,0,1,0,2,2,4,2,5,2,1,0,1,3,2.0974999999999997,62.179400000000015,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13.892152008721187,-3.8073459488218093,13.892152008721187,0.08500006107820468,0.2163402639722269,587.7090000000013,558.4770000000002,587.2103441680008,214,0,0.22829402455785014,-0.37777781989763004,0.37777781989763004,0.22829402455785014,1.0232558139534884,1.8604651162790697,2.744186046511628,11.284235658324562,-0.1804866671740577,0.3671848726905103,-2.6821668486490085,0.34907232567892826,-2.7972454507993088,2.546034012163804,-1.0056554071040202,1.4697758955867077,3288.524103706451,54.510742520000775,49.8552400398913,21.671736620819022,32.84146569373589,25.992756681159232,12.414826071087045,7.791728882948076,8.565125545082049,5.1575823414230975,5.807366971544233,3.4760920296226243,4.069458133586558,-5.059999999999999,731162678615703.2,9.731047462563554,12.044799068703135,5.966277109052836,293.25595222138094,20.256399391227276,5.693927994848461,7.784557079428434,11.855519010338,0.0,0.0,9.195231790333615,14.951935562841626,0.0,11.336785877934737,48.33934966130636,41.81796373767676,56.06275162801714,65.14771528111446,49.36556531112424,45.215336635095454,0.0,19.352630169103417,0.0,6.372924901329379,41.63122629189169,107.85921823028025,0.0,22.64523547624238,15.519536437427229,23.01049810503718,0.0,11.336785877934737,51.371499752919384,15.90432503920125,0.0,42.573932508292955,102.29576673858327,2.8236841566564013,27.606108399014413,0.0,96.68,197.21655964999366,6.165295740242042,0.0,15.170596006910886,11.336785877934737,4.400694606261793,0.0,0.0,0.0,19.688798516641675,38.46340661708213,251.2623979889581,0.461706166457317,25.31439279255919,-1.0405098278084035,-8.426075550705926,-3.214913540343778,-16.429917323072377,-5.578349909877348,-15.098730796166748,0.0,0.15151515151515152,43,2,9,0,1,1,3,3,6,9,2,10,8,0,1,1,7,6.281200000000006,171.06339999999963,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,9.403188730710607,-4.386301608830941,9.403188730710607,0.13656077595944938,0.5105518490087373,507.43599999999986,480.22000000000037,506.14297158400086,170,0,0.2272991470103087,-0.4945048796246761,0.4945048796246761,0.2272991470103087,1.4545454545454546,2.393939393939394,3.212121212121212,10.912128010732394,-0.24661900544352858,3.138017916648336e-17,-2.7894170316493057,3.8626460355162647e-17,-2.9070678682353543,1.7794930697949425,-1.0699490771651867,2.1617298751057907,2304.352669517829,46.798082239349085,42.969494336472835,17.555490875587545,26.71100851415755,21.95133249321816,9.297117167275555,5.754843229602275,6.547841499159628,3.7151779599770456,4.268067134720374,2.334226229520999,2.7097956005873316,-3.149999999999999,642246326828.9542,6.935977265636943,10.194760464207736,5.265308639162456,240.69899754695925,19.84649576878938,5.749511833283905,1.4118420783282006,5.948339280986494,0.0,0.0,0.0,9.967957041894417,5.261891554738487,0.0,18.127256122989884,53.44837053021415,64.05296732402854,55.895510800922025,41.788427492553986,33.25305572830297,5.261891554738487,14.867866772744895,0.0,19.242709486974704,43.71408149625152,58.50599717198723,0.0,23.076112632621633,14.946586037938904,17.323111830353618,5.749511833283905,15.929943897949348,54.390117653207206,6.372924901329379,11.33111286753076,48.05506606941842,52.94254568029024,1.4118420783282006,11.257379486545457,0.0,77.30999999999999,155.38288768295857,5.261891554738487,0.0,5.309813353288376,0.0,0.0,6.069221312792274,0.0,0.0,25.897900939843765,41.788427492553986,229.30771915106413,2.955004793621537,6.162243443481204,9.266627954751158,-5.54622204594597,-2.8066897350952194,-11.908537925386018,-4.010729915605999,-21.225381583696148,-3.777367470521992,0.32,33,1,7,0,1,1,2,1,3,7,1,8,9,0,1,1,4,4.864680000000005,135.0666999999999,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13.921442072981918,-4.284668877034521,13.921442072981918,0.25288403906098766,0.482394988927925,490.9949999999998,463.7790000000003,490.18840178400086,180,0,0.3398123207162101,-0.46233457849721904,0.46233457849721904,0.3398123207162101,1.3714285714285714,2.2285714285714286,3.0,11.139459898410358,-0.24829521347842182,2.1628548018024908e-17,-2.758309021066446,1.4532641929303968e-16,-2.8854639871283934,1.9151266078073104,-1.0532347540102895,2.1858983833677295,2385.910402051991,48.37543250853871,43.8777426269367,17.63367157295516,27.62169211668051,22.40545663845009,9.336207515959362,5.953435236676586,6.3313997096858134,3.826459753925925,4.089981723123936,2.4484625708575423,2.627469114582701,-3.6699999999999995,1573843945168.5754,7.662302370022787,11.17025136004371,5.882181982529314,247.66118038263994,19.84649576878938,0.0,1.4118420783282006,5.948339280986494,0.0,5.969305287951849,0.0,14.76249422596624,5.261891554738487,0.0,29.7281960132224,43.56084533992809,53.68737917768701,66.33204552920616,46.582964676625814,34.89335700853798,5.261891554738487,14.867866772744895,0.0,13.224817018625059,49.73197396460116,64.61936246159314,0.0,17.32660079933773,10.209723084138854,17.323111830353618,0.0,11.600939890232516,60.35942294115905,11.10978785512943,11.33111286753076,58.41305474518727,48.46982616445783,6.434475392069527,11.257379486545457,0.0,94.37999999999998,161.7160464272324,10.056428738810308,0.0,5.309813353288376,0.0,0.0,6.069221312792274,0.0,0.0,14.704819995694464,48.65250442898647,227.18248916745657,6.235589520614022,19.88013616010059,8.271903704957786,-8.060882476837294,-3.6759058671373808,-8.227732955038226,-4.268726151636474,-28.89242665803523,0.0,0.3076923076923077,35,1,8,0,1,1,2,1,3,8,1,9,9,0,1,1,4,4.535180000000005,137.1861999999999,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,15.929394000532529,-6.1153368542141004,15.929394000532529,0.3352215456634653,0.4824926288258196,522.0020000000003,496.80200000000025,521.1299811800006,186,0,0.22884721581299092,-0.39167911213235007,0.39167911213235007,0.22884721581299092,1.4285714285714286,2.257142857142857,3.0,11.364410359546929,-0.245356401173874,1.9179270599308687e-16,-2.6820142992137166,3.8573238965971205e-16,-2.7973411820903644,1.9231182088567649,-1.005656558770897,2.2251220781267596,2357.8188988217526,46.798082239349085,41.53323837583756,18.105663902783743,26.700971813025483,21.020661991465786,10.526327826105586,6.004841673898086,7.79792801275773,3.7640699040584225,4.779149189833084,2.3333799952566796,2.9744644437979644,-2.9899999999999993,650900767114.3591,8.547555966412418,10.324286542369556,5.811898056675037,242.87414905263805,24.955303959896593,0.0,22.884178833626624,7.379538938219128,0.0,0.0,0.0,17.792190552950963,4.9839785209472085,0.0,17.643358597895812,35.77554503001347,45.75279425641906,64.75824945840007,55.593172047154326,50.26655390952223,1.4311996572326342,9.967957041894417,0.0,11.454468718434065,54.3810736708525,58.83071310327874,0.0,0.0,15.109632814989332,33.218775930547025,0.0,11.600939890232516,64.19720273042637,21.13310133313384,5.817220841045895,37.09089828361206,47.3228909323123,6.434475392069527,0.0,0.0,107.89,158.43195978100457,8.417796984328938,4.39041504767482,4.899909730850478,0.0,0.0,0.0,0.0,0.0,19.81362818680168,45.97142841770844,250.81553189917045,6.152928350367485,3.7662720176992694,2.2209099847264038,-6.218601083163489,-5.379690956106453,-9.424837844096842,-5.951395095128414,-23.421335974809836,-6.1153368542141004,0.30434782608695654,35,2,9,0,1,1,2,1,3,9,2,12,10,0,1,1,4,3.5130000000000026,133.29429999999996,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,9.43047851097862,-4.131970818644498,9.43047851097862,0.09659860822198452,0.380553544278896,500.0059999999998,473.7980000000003,499.18873613200077,182,0,0.22789536557974094,-0.4414111048164923,0.4414111048164923,0.22789536557974094,1.25,2.138888888888889,2.9166666666666665,11.189383553522216,-0.24584888168889335,2.4754481627394893e-16,-2.7583917191910294,3.0249516496533604e-16,-2.884981520217531,2.3167624820960984,-1.039034589594859,1.9225351558414412,2537.513914204452,47.73723982810451,43.416707931972795,18.172636877991252,27.864892065406973,22.39854608871812,9.829296966227387,6.421799192885748,6.799763665894976,4.150201187515041,4.413723156713053,2.708927683829611,2.8879342275547693,-3.9299999999999997,3081197625158.4526,8.035593812252852,10.361746286050572,5.175582749326761,251.32232977521565,19.52678375204268,5.760247418874442,1.4118420783282006,11.839063203012403,0.0,0.0,0.0,14.951935562841626,5.261891554738487,0.0,29.7281960132224,43.56084533992809,59.374765452370575,58.88781066625086,40.09795691963706,28.924051720586135,5.261891554738487,19.851845293692104,0.0,13.224817018625059,43.17298872168488,70.98905359958536,0.0,28.780776213060633,10.209723084138854,17.323111830353618,0.0,11.600939890232516,52.815110931238124,6.372924901329379,18.18300498482644,45.59266281482696,59.059872312325936,6.434475392069527,22.71155490026836,0.0,94.11,167.0116224480794,6.632650110908707,0.0,5.309813353288376,0.0,0.0,6.069221312792274,0.0,0.0,14.951935562841626,50.32813825369938,223.39237598546575,6.287988859544538,10.065255882973396,8.517510807106126,-6.791979324999366,-3.6179295933248596,-7.320184111111152,-5.3454913286190555,-23.659769399257588,0.0,0.25925925925925924,36,1,8,0,1,1,2,2,4,8,1,9,8,0,1,1,5,5.3219000000000065,141.46369999999985,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9.661546818680764,-4.115632773009579,9.661546818680764,0.13663600744093163,0.580974254686661,464.95699999999977,439.75700000000023,464.1727517200007,170,0,0.22732416502597297,-0.4966966319579114,0.4966966319579114,0.22732416502597297,1.2121212121212122,2.0606060606060606,2.8181818181818183,11.189383553522203,-0.2456783925752036,1.1410061595829007e-16,-2.7576143199234355,4.457287504959426e-16,-2.884803712351493,2.0428152145218705,-1.0390364616940888,2.107428159709384,2190.6954389787875,45.00518902053563,40.8777426269367,16.63367157295516,25.91147969130084,20.859580783682027,8.790331661191296,5.699226048575185,6.077190521584412,3.6824987063339876,3.9460206755319973,2.3409667892887036,2.519973333013862,-3.5399999999999996,285988764251.6516,7.227220260308507,9.94208680382534,5.107526347698261,233.0733782829742,24.58335872258943,11.49902366656781,1.4118420783282006,5.948339280986494,0.0,0.0,0.0,9.967957041894417,5.261891554738487,0.0,11.600939890232516,37.187920438598724,52.87600510449919,71.5883159712363,43.783773334013596,28.924051720586135,5.261891554738487,14.867866772744893,0.0,0.0,57.248893639450046,53.013492262232845,0.0,28.82562446590554,19.683448991738953,17.323111830353618,11.49902366656781,11.600939890232516,61.90703732805609,0.0,11.33111286753076,38.461656839782286,42.427407456794526,6.434475392069527,11.257379486545457,0.0,86.54,149.93199726271195,5.261891554738487,0.0,5.309813353288376,0.0,0.0,6.069221312792274,0.0,0.0,9.967957041894417,55.38471322424615,214.53139021524157,6.241829168392645,6.267020131998095,8.710054932708738,-5.460344669902976,-3.8140647171688578,-6.117946343616826,-1.0396394982653343,-20.26556770909594,-7.024953732513383,0.2916666666666667,33,1,8,0,1,1,2,1,3,8,1,9,9,0,1,1,4,4.181280000000003,129.73170000000002,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8.7737880922753,-4.465975970716214,8.7737880922753,0.02994546717573643,0.6501274457712475,327.4359999999995,302.236,327.2171438000007,128,0,0.22411336729068854,-0.3538858760077845,0.3538858760077845,0.22411336729068854,1.4583333333333333,2.3333333333333335,3.125,8.279032638616629e-16,-0.18358796290458554,-9.970537492523608e-18,-2.8241995821340318,-3.88630223726512e-17,-2.8482507201770124,8.800266812015298e-17,-1.1376408350809615,1.891583319257882,1643.7350478484007,38.47217330464553,36.630495168499706,11.630495168499708,21.60098396675129,18.64574275274956,6.40967477524977,4.265247584249854,4.265247584249854,2.5825502499874067,2.5825502499874067,1.5123161446561992,1.5123161446561992,-2.15,6004092819.773147,3.8223744956031593,6.764279068522815,3.841329554536803,176.81697482434285,16.339343682303024,8.64154693449143,10.05338901281963,5.948339280986494,0.0,0.0,5.091706557583081,4.9839785209472085,10.082660329248245,0.0,0.0,50.173925801002646,59.62084720624898,4.1122756685106605,34.4743815150454,17.58406483665655,0.0,20.158345407778537,11.613674661089352,50.149399561688995,17.116486390892696,23.951660620989813,0.0,0.0,16.339343682303024,17.58406483665655,0.0,0.0,32.67309756044413,0.0,5.893957685363079,77.24060621159221,18.25773262614135,7.059210391641003,0.0,0.0,104.53999999999999,115.10547271802906,0.0,0.0,10.401519910871457,0.0,0.0,0.0,0.0,0.0,15.066638850195453,34.4743815150454,204.53330237717802,0.0,6.9060079432752595,2.679106930845037,-1.946977455850096,-10.985027567964398,-6.306196045756936,-24.38842447033515,-4.325125044725066,0.0,0.5882352941176471,24,5,7,2,0,2,0,2,2,6,4,7,7,2,0,2,4,2.7500999999999998,94.30050000000003,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
